testID,ID(停車場的編號),Area(行政區),Name(停車場名稱),Address(停車場地址),Latitude(緯度),Longitude(經度),Summary(停車場概況),Tel(停車場電話),Payex(停車場收費資訊),"Totalcar(停車場""汽車""總車位數)","Totalmotor(停車場""機車""總格位數)","Totalbike(停車場""腳踏車""總車架數)","Totalbus(停車場""大客車""總車位數)",Pregnancy_First(孕婦優先車格位數),Handicap_First(身障車格位數),Totallargemotor(重機停車位數),ChargingStation(充電站數)
452,Mar-88,大同區,一銀重慶停車場,臺北市大同區重慶北路2段180號B1-B3,25.0601377,121.5130694,大型車:0格，小型車:112格，機車:0格,2553-5600#6404,計時:60元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。月租6000元。,115,0,0,0,0,0,0,0
453,229,大安區,嘉興公園地下停車場,臺北市大安區嘉興街373號,25.0318217,121.55835,立體式小型車195格(含身心障礙停車位4格)。立體式機車64格(含身心障礙停車位2格)。,8732-1451,小型車計時30元，全日月票4800元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,194,59,0,0,0,0,0,2
454,Mar-90,大安區,國立臺灣大學附設動物醫院臨時停車場,臺北市大安區基隆路3段153號,25.0156319,121.5430757,大型車:0格，小型車:11格，機車:0格,2739-6828#3172,計時：30元/時，未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,12,0,0,0,0,0,0,0
455,2291,北投區,中央停車場,臺北市北投區桃源段五小段830地號 中央北路4段568號前空地,25.127677,121.4667629,大型車:0格，小型車:21格，機車:0格,2891-9331,40元/時，未滿1小時以1小時計，逾1小時以上未滿半小時以半小時計。月租全日6000元/月,22,0,0,0,0,0,0,0
456,2295,文山區,JR羅斯福,臺北市文山區萬盛街89號1-3樓與地下1-3樓,25.0055782,121.5426858,大型車:0格，小型車:31格，機車:0格,2502-7799,"50元/時，未滿1小時以1小時計，逾1小時以上未滿半小時以半小時計。月租4,000元/月，年租48,000元。",31,0,0,0,0,0,0,0
457,Apr-97,北投區,北投雅樂軒停車場,臺北市北投區大業路302號地下1-4層,25.1284888,121.498031,大型車:0格，小型車:189格，機車:0格,7701-1788,"計時：40元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。二、月租：5,500元/月。",193,0,0,0,0,0,0,0
458,Mar-98,北投區,歐特儀股份有限公司夢幻湖停車場,臺北市北投區七星山東麓海拔860公尺,25.1708333,121.5533333,一般平面式小型車66格(含身心障礙停車位2格)。一般平面式機車22格(含身心障礙停車位1格)。,2705-7716,小型車計時30元/時(全程以半小時計費)。機車計次20元。,68,23,0,0,0,0,0,0
459,Feb-99,北投區,歐特儀股份有限公司小油坑橋停車場,"臺北市北投區座標：25.17933,121.54440",25.1151759,121.515018,一般平面式小型車40格(含身心障礙停車位2格)。一般平面式機車23格(含身心障礙停車位1格)。,27057-716,計時：小型車20元/時(全程以半小時計費)。機車計次20元。,42,24,0,0,0,0,0,0
460,Feb-00,北投區,歐特儀股份有限公司小觀音停車場,"臺北市北投區座標:25.17991,121.54605",25.1151759,121.515018,一般平面式小型車16格(含身心障礙停車位1格，孕婦、育有6歲以下兒童停車位1格)。一般平面式機車24格(含身心障礙停車位4格)。,2705-7716,小型車計時30元/時(全程以半小時計費)，機車計次20元/次。,17,25,0,0,0,0,0,0
461,2-Feb,信義區,愛馬屋101場,臺北市信義區信義路4段450巷1號,25.0323739,121.5586016,建物附設塔城式小型車29格[含身心障礙停車位1格]。,2345-7749,"80元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。全天6,000元/月。",29,0,0,0,0,0,0,0
462,2303,士林區,Times德行西路,臺北市士林區蘭雅段一小段626地號；德行西路5號旁空地,25.0950492,121.5246077,大型車:0格，小型車:4格，機車:0格,2504-6098,"100元/時，全程以半小時幾計。月租10,000元。",4,0,0,0,0,0,0,0
463,2308,文山區,櫻悅社區停車場,臺北市文山區興隆路3段304巷171、173、175、177號地下層,24.9953439,121.5546897,大型車:0格，小型車:14格，機車:0格,2239-6167,"計時：60元/時，停車未滿1小時以1小時計算，逾1小時以上，未滿半小時以半小時計算。月租：8,000元/月。",14,0,0,0,0,0,0,0
464,2314,大同區,Times長安西路,臺北市大同區市府段一小段725、726、727地號(部分面積178平方公尺)；長安西路134號旁空地,25.0505986,121.5178552,大型車:0格，小型車:5格，機車:0格,2504-6098,"100元/時，停車未滿1小時以1小時計費，逾1小時以上者，未滿半小時以半小時計費，月租10,000元/月",5,0,0,0,0,0,0,0
465,16-Apr,信義區,USPACE交易一號停車場,臺北市信義區松仁路89號B2、B3,25.037165,121.5687473,建物附設立體式小型車75格[含身心障礙停車位1格]。建物附設立體式機車274格[含身心障礙停車位6格]。,7751-8097,"計時：150元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計，月租：10,000元/月。",76,274,0,0,0,0,0,0
466,17-Mar,信義區,USPACE交易二號停車場,臺北市信義區松仁路101號B3、B4,25.0362324,121.5691896,建物附設立體式小型車122格[含身心障礙停車位2格]。建物附設立體式機車134格[含身心障礙停車位3格]。,7751-8097,"計時：150元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計，月租：10,000元/月。",122,134,0,0,0,0,0,0
467,232,中山區,建國北路高架橋下O區,臺北市中山區建國北路橋下(八德迴轉道-長安東路),25.0484736,121.5405885,為橋下停車場，計有143個小型車停車格，42個機車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",143,0,0,0,0,4,0,0
468,2321,內湖區,便利停車場瑞光站,臺北市內湖區瑞光路68號B1-B3,25.0707458,121.5819401,大型車:0格，小型車:113格，機車:0格,2799-1001#168,"計時：50元/時，停車未滿1小時以1小時計，停車逾1小時以上者，未滿半小時以半小時計費。 月租：6,000元/月。",113,0,0,0,0,0,0,0
469,22-Jan,松山區,Times 民族東路,臺北市松山區民族東路680號對面空地,25.0643393,121.5469223,無資訊,2504-6098,"計時:100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日10,000元/月。",7,0,0,0,0,0,0,0
470,2323,文山區,臺北市政府工務局新建工程處養護工程隊第6分隊月租停車場,臺北市文山區景福街120號,24.9967207,121.5360125,大型車:0格，小型車:30格，機車:0格,2931-3767,"全日-半年繳28,800元(設籍景仁里、景慶里民16,800元) 夜間及假日-半年繳12,000元(設籍景仁里、景慶里民7,200元)",30,0,0,0,0,0,0,0
471,2324,內湖區,168停車聯盟-洲子場,臺北市內湖區洲子街55號B2-B6,25.0791932,121.5733515,大型車:0格，小型車:114格，機車:0格,2754-6661#18,"計時：100元/時，全程以半小時計費。月租：10,000元/月。",119,0,0,0,0,0,0,0
472,25-Feb,大安區,馥裕和平停車場,臺北市大安區辛亥段四小段590第地號(部分面積938平方公尺)； 和平東路3段632巷高架橋下,24.9747451,121.4427991,大型車:0格，小型車:33格，機車:0格,0912-902-921,"月租：2,200元/月。",33,0,0,0,0,0,0,0
473,233,中山區,建國北路高架橋下A區,臺北市中山區建國北路橋下(長安東路-朱崙迴轉道),25.0484736,121.5405885,為橋下停車場，計有171個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",171,0,0,0,0,4,0,0
474,Mar-32,北投區,多多站收費停車場(北二場),臺北市北投區開明段二小段186地號；中和街205號旁空地,25.13883,121.5016112,大型車:0格，小型車:49格，機車:0格,2738-5501,"100元/時。停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租10,000元/月",49,0,0,0,0,0,0,0
475,Jun-34,士林區,天鑄停車場,臺北市士林區天母東路6之6號、6之7號、6之8號及8號地下1、2層,25.1175776,121.5328049,大型車:0格，小型車:120格，機車:60格,2876-1618,"計時:小型車150元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計，車輛停放逾21時未駛出本停車場，需於次日09時後取車，並依時累計停車費。月租:小型車全日10,000元/月，機車2,000元/月。計次:機車50元/次(隔日另計)，車輛停放逾21時未駛出本停車場，需於次日09時後取車，並依日累計停車費。",120,60,0,0,0,0,0,0
476,Jan-36,松山區,阿樹國際旅店附屬停車場,臺北市松山區八德路3段76號B2-B6,25.0480759,121.5526449,大型車:0格，小型車:107格，機車:0格,2578-7728,"臨停:周一至周五每小時60元，周六、周日(含例假日及國定假日)每小時80元(全程以半小時計)。月租:全日9,000元(押金1個月)，日間(08-20)5,000元(押金1個月)，夜間(20-翌日08)5,000元(押金1個月)。",111,0,0,0,0,0,0,0
477,234,中山區,建國北路高架橋下B區,臺北市中山區建國北路橋下(朱崙迴轉道-南京東路),25.0520785,121.544009,為橋下停車場，計有377個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",377,0,0,0,0,10,0,0
478,Jan-40,內湖區,Times 凱旋酒店,臺北市內湖區江南街55號B1-B3,25.0773903,121.5777963,大型車:0格，小型車:79格，機車:0格,0800-888-924,"100元/時，全程以半小時計費。月租:全日10,000元/月。",79,0,0,0,0,0,0,0
479,Mar-46,大安區,科技大樓停車場,臺北市大安區學府段二小段42、43、46地號 和平東路2段118巷2-2號,25.0243363,121.5428127,大型車:0格，小型車:5格，機車:0格,2948-8889,100元/時，停車未滿1小時以1小時計，停車逾1小時以上者，未滿半小時以半小時計。,6,0,0,0,0,0,0,0
480,Feb-48,松山區,慶城停車場,臺北市松山區敦化段一小段374-2、374-6地號(部分面積930.66平方公尺)；慶城街42號旁空地,25.05491,121.5467395,大型車:0格，小型車:28格，機車:0格,2523-8115,100元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。,29,0,0,0,0,0,0,0
481,235,中山區,建國北路高架橋下C區,臺北市中山區建國北路橋下(南京東路-四平迴轉道),25.0792018,121.5427093,為橋下停車場，計有133個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",133,0,0,0,0,3,0,0
482,Jan-51,大安區,新長越通化街停車場,臺北市大安區通化段一小段886地號； 通化街39巷49弄22號空地,25.0307825,121.5541443,大型車:0格，小型車:5格，機車:0格,2778-5756,70元/時，停車逾1小時以上者，未滿半小時以半小時計費，月租7000元,5,0,0,0,0,0,0,0
483,Mar-54,松山區,合庫停車場,臺北市松山區長安東路2段225號地下1-5層,25.1178318,121.5358056,大型車:0格，小型車:737格，機車:1106格,2246-1708#15,"計時：小型車150元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計。月租：小型車全日5,000元/月，重型機車1,200元/月，機車400元/月。計次：機車50元/次(隔日另計)。",737,1106,0,0,0,0,0,0
484,2355,信義區,168停車聯盟-松勇二場,臺北市信義區信義段三小段44-1地號； 松勇路53巷12號旁空地,25.0219844,121.5748662,大型車:0格，小型車:14格，機車:0格,2754-6661#18,100元/時，全程以半小時計。月租10000元,14,0,0,0,0,0,0,0
485,May-56,士林區,德行東路平面停車場,臺北市士林區芝山段一小段118、120、122地號； 德行東路212巷12號旁空地,25.1085044,121.5320926,大型車:0格，小型車:19格，機車:0格,2568-3773#562,"一、計時：100元/時，全程以半小時計費。二、月租：10,000元/月。",19,0,0,0,0,0,0,0
486,2359,北投區,復興四路平面停車場,臺北市北投區復興四路20號前,25.1425632,121.5013937,無資訊,2726-8210,週一至週六上午9時至下午5時，每次新臺幣50元(每日零時為計費基準點，凡跨越每日零時停車者，累計收費1次),8,0,0,0,0,0,0,0
487,236,中山區,建國北路高架橋下D區,臺北市中山區建國北路橋下(四平迴轉道-長春路),25.0792018,121.5427093,為橋下停車場，計有133個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",120,0,0,0,0,3,0,0
488,Mar-63,大安區,臺北和平籃球館停車場,臺北市大安區敦南街76巷28號,25.0213949,121.545334,大型車:0格，小型車:190格，機車:347格,0938-752-558,汽車平日30元、假日40元，全程以半小時計。月租:汽車全日6500元/月、日間(07-19)5000元。機車計次20元/次(隔日另計)。,190,347,0,0,0,0,0,0
489,2365,北投區,醫療財團法人辜公亮基金會和信治癌中心醫院停車場,臺北市北投區立德路125號B2-B4(教學研究大樓),25.1278601,121.4718122,大型車:0格，小型車:84格，機車:0格,2246-1708,(07-19)60元/時，(19-07)30元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,87,0,0,0,0,0,0,0
490,Feb-68,內湖區,臺北市網球中心停車場,臺北市內湖區民權東路6段208號地上1層及地下1層,25.0675684,121.5969537,大型車:0格，小型車:338格，機車:526格,2246-1708,汽車:30元/時，全程以半小時計，月租汽車4000元。機車:20元/次(隔日另計),346,537,0,0,0,0,0,0
491,237,中山區,建國北路高架橋下E區,臺北市中山區建國北路橋下(興安街-興安迴轉道),25.056219,121.5431402,為橋下停車場，計有70個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",70,0,0,0,0,2,0,0
492,Apr-70,萬華區,長揚停車場康定二站,臺北市萬華區萬華段二小段706地號； 康定路317巷3-2號旁空地,25.0337832,121.5019423,大型車:0格，小型車:12格，機車:0格,2761-9188,"月租:全日6,000元，夜間(19-08)4,000元，日間(08-19)5,000元",12,0,0,0,0,0,0,0
493,Feb-72,內湖區,特力廣場停車場,臺北市內湖區新湖三路23號地上3、4樓,25.0619908,121.5742691,大型車:0格，小型車:301格，機車:0格,2793-5818,計時:90元/時，全程半小時計。月租4000元。,301,0,0,0,0,0,0,0
494,2375,士林區,菁山遊憩區,臺北市士林區菁山路101巷71弄16號,25.1519009,121.5586164,大型車:0格，小型車:37格，機車:0格,2862-5116,60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。最高收費200元(園區住宿、泡湯或用餐消費免費停車),38,0,0,0,0,0,0,0
495,238,中山區,建國北路高架橋下F區,臺北市中山區建國北路橋下(興安迴轉道-民生東路),25.057952,121.5446373,為橋下停車場，計有105個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",105,0,0,0,0,2,0,0
496,238-10,中正區,台北牯嶺街停車場,臺北市中正區南海段二小段498地號；牯嶺街78號旁空地,25.0262784,121.5079274,大型車:0格，小型車:4格，機車:0格,2518-5299,"月租：12,000元/月。",4,0,0,0,0,0,0,0
497,2382,北投區,歐特儀股份有限公司捷運關渡站轉乘停車場,臺北市北投區三合街2段489號,25.1260169,121.5010117,建物附設立體式小型車59格[含身心障礙停車位2格]。建物附設立體式機車181格[含身心障礙停車位4格]。,2705-7716,"小型車：全時月票/3,500元，日間(06-21時)限時月票2,000元，夜間(19-08時)限時月票1,500元，逾時以每小時30元計(全程以半小時計費)身心障礙者月票案全時月票5折優惠。機車：全時月票300元/月，身心障礙者月票案全時月票5折優惠。",59,181,0,0,0,0,0,0
498,Jan-84,士林區,台灣聯通克強停車場,臺北市士林區克強路10巷14號旁空地；蘭雅段一小段163地號,25.109803,121.5242098,大型車:0格，小型車:12格，機車:0格,2523-5000,80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。每月8000元,12,0,0,0,0,0,0,0
499,Feb-87,文山區,臺北市文山區明道國民小學停車場,臺北市文山區木柵路2段183巷61號,24.967016,121.591065,大型車:0格，小型車:6格，機車:0格,2939-2821#14,"季租:5,400元/季",6,0,0,0,0,0,0,0
500,239,中山區,建國北路高架橋下G區,臺北市中山區建國北路橋下(民生東路-錦州街),25.060026,121.5433145,為橋下停車場，計有255個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",255,0,0,0,0,6,0,0
501,2393,北投區,北投三合停車場,臺北市北投區三合段70地號；三合街1段117巷38號旁空地,25.1294316,121.5043172,大型車:0格，小型車:28格，機車:0格,0952-097-063,"一、計時：120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。二、計次：600元/次(隔日另計)。三、月租：12,000元/月。",28,0,0,0,0,0,0,0
502,Jan-94,中山區,嘟嘟房建國民權站停車場,臺北市中山區建國北路2段238號地下2~5層,25.0613258,121.5365611,大型車:0格，小型車:272格，機車:0格,2655-0818,80元/時，停車逾1小時以上者，未滿半小時以半小時計費，月租8000元/月,277,0,0,0,0,0,0,0
503,240,中山區,建國北路高架橋下H區,臺北市中山區建國北路橋下(錦州街-民權東路),25.0601757,121.544291,為橋下停車場，計有246個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",246,0,0,0,0,4,0,0
504,8-Jan,中山區,海基會地下二樓停車場,臺北市中山區北安路536號B2,25.0796718,121.5474565,大型車:0格，小型車:62格，機車:0格,2547-2778,"每月4,000元。",62,0,0,0,0,0,0,0
505,9-Feb,士林區,百齡國小附設停車場,臺北市士林區福港街205號,25.086145,121.5178692,大型車:0格，小型車:8格，機車:0格,2881-7683#850,"每期6,000元，3個月為1期",8,0,0,0,0,0,0,0
506,241,中山區,建國北路高架橋下IA區,臺北市中山區建國北路橋下(民權東路-五常街),25.0623145,121.5441389,為橋下停車場，計有57個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",57,0,0,0,0,2,0,0
507,10-Apr,中山區,中山北路二段停車場,臺北市中山區中山段三小段96地號；中山北路2段105號旁,25.052685,121.520391,大型車:0格，小型車:10格，機車:0格,2568-3773,每小時200元，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日18000元,10,0,0,0,0,0,0,0
508,14-Mar,信義區,松信停車場,臺北市信義區松信路、虎林街120巷交叉口(虎林街120巷南側),25.0420355,121.5767691,一般平面式小型車49格[含身心障礙停車位2格]。,2579-8373,"計時：120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：8,000元/月。",49,0,0,0,0,0,0,0
509,17-Jan,中正區,明道樓後方停車場,臺北市中正區南海路56號(明道樓後方，靠和平西路2段),25.0301964,121.5124737,大型車:0格，小型車:20格，機車:0格,2303-4381#511,"月租:2,500元/月",20,0,0,0,0,0,0,0
510,19-Jan,內湖區,臺北市立三民國民中學停車場,臺北市內湖區民權東路6段45號,25.0691689,121.5864614,大型車:0格，小型車:8格，機車:0格,2792-4772,"月租:1,500元/月",8,0,0,0,0,0,0,0
511,242,中山區,建國北路高架橋下IB區,臺北市中山區建國北路橋下(五常街-農安街),25.0648387,121.5298306,為橋下停車場，計有142個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",142,0,0,0,0,3,0,0
512,23-Mar,中山區,百里亭有限公司農安場,臺北市中山區林森北路566號B2,25.0645244,121.5255865,建物附設立體式小型車38格(含身心障礙停車位1格),7715-3105,"月租：12,000元/月。",38,0,0,0,0,0,0,0
513,25-Jan,北投區,大業平面停車場,臺北市北投區大業段四小段444地號；大興街12號旁空地,25.1297725,121.4980395,大型車:0格，小型車:117格，機車:0格,0910-366-732,"70元/時，第1小時未滿1小時以1小時計，停車逾1小時以上者，未滿半小時以半小時計。月租：4,500元/月",117,0,0,0,0,0,0,0
514,Feb-29,中山區,臺北市濱江實驗國民中學B1停車場,臺北市中山區樂群二路262號地下1層,25.07955,121.5607499,大型車:0格，小型車:58格，機車:0格,8502-0126,"每季7,500元。",58,0,0,0,0,0,0,0
515,243,中山區,建國北路高架橋下J區,臺北市中山區建國北路橋下(農安街-民族東路),25.0648387,121.5298306,為橋下停車場，計有113個小型車停車格。,2655-1516,"計時:30元/時(07-21:30)，10元/時(21:30-07)，全程以半小時計費。月租:全日5,000元/月，全日所在里里民優惠月票3,500元/月。機車暫不收費。",113,0,0,0,0,3,0,0
516,Feb-32,信義區,瑠公國中停車場,臺北市信義區福德街221巷15號,25.0370723,121.5854463,大型車:0格，小型車:25格，機車:0格,2726-1781#401,"場地租用:每次100元(限3小時)。夜間租用:每月2,500元。",25,0,0,0,0,0,0,0
517,Feb-36,信義區,松菸停車場,臺北市信義區逸仙段二小段349、349-1、349-2、349-3、349-4、349-5地號；忠孝東路4段553巷52弄3號對面空地,25.0441708,121.562752,大型車:0格，小型車:5格，機車:0格,2778-5756,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。,5,0,0,0,0,0,0,0
518,244,大安區,建國南路高架橋下A區,臺北市大安區建國南路橋下(和平東路-瑞安街244巷),25.027682,121.5389644,計有287個小型車停車格(含身心障礙停車位5格),2655-0818,"計時(以半小時為計費單位)：07:30-21:30：20元/時，21:30-翌日07:30：10元/時(供建國花市、玉市及藝文特區使用時段禁止停放)；月租：全日月票4,800元/月，平日月票2,500元/月(週日19時至周五21時30分)，夜間月票1,500元/月(周一至周五18時至08時及周六、周日全日)。",287,0,0,0,0,5,0,0
519,Jan-40,信義區,忠孝五停車場,臺北市信義區信義段二小段28-6、99-10、114-13地號及信義段三小段10、10-1、10-3地號；忠孝東路5段236巷27弄10號旁空地,25.0219844,121.5748662,大型車:0格，小型車:33格，機車:0格,2778-5756,"70元/時。停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全天6,000元",33,0,0,0,0,0,0,0
520,Feb-43,萬華區,紅樓站停車場,臺北市萬華區漢中段一小段594-2地號；西寧南路102巷3號旁空地,25.041994,121.505672,大型車:0格，小型車:5格，機車:0格,2708-6610,"200元/時。停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全日20,000元/月。",5,0,0,0,0,0,0,0
521,Jan-44,松山區,驛林交通股份有限公司南京塔悠站,臺北市松山區塔悠路81號地下2、3樓,25.0519539,121.5705945,大型車:0格，小型車:30格，機車:0格,2362-1685#11,"平日80元/時，假日100元/時。停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：全天8,000元",30,0,0,0,0,0,0,0
522,245,大安區,建國南路高架橋下D區,臺北市大安區建國南路橋下(建國南路二段39巷-信義路),25.0320524,121.538745,計有65個小型車停車格(含身心障礙停車位2格),2655-0818,"計時(以半小時為計費單位)：07:30-21:30：20元/時，21:30-翌日07:30：10元/時(供建國花市、玉市及藝文特區使用時段禁止停放)；月租：全日月票4,800元/月，平日月票2,500元/月(週日19時至周五21時30分)，夜間月票1,500元/月(周一至周五18時至08時及周六、周日全日)。",66,0,0,0,0,1,0,0
523,Jan-50,中山區,敬業一路平面停車場,臺北市中山區金泰段81-22地號；敬業一路141號右側空地,25.0839431,121.5523865,大型車:0格，小型車:122格，機車:0格,2568-3773,"計時:100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租10,000元/月",122,0,0,0,0,0,0,0
524,Apr-54,中正區,嘟嘟房城中社福大樓站停車場,臺北市中正區延平南路123號地下2、3層,25.0388345,121.5089951,大型車:0格，小型車:42格，機車:92格,2655-0818,一、計時：小型車60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。二、計次：機車20元/次。三、月租：機車500元/月。,42,92,0,0,0,0,0,0
525,Mar-58,中正區,東門市場停車場,臺北市中正區臨沂段三小段598地號(部分面積51.41平方公尺)；金山南路1段159號空地,25.0421407,121.5198716,一般平面式小型車1格(含身心障礙停車位1格)。,2778-5756,"月租：6,500元/月。",1,0,0,0,0,0,0,0
526,246,大安區,建國南路高架橋下C區,臺北市大安區建國南路橋下(建國南路二段33號迴轉道-69巷),25.0322862,121.538176,計有108個小型車停車格(含身心障礙停車位2格),2655-0818,"計時(以半小時為計費單位)：07:30-21:30：20元/時，21:30-翌日07:30：10元/時(供建國花市、玉市及藝文特區使用時段禁止停放)；月租：全日月票4,800元/月，平日月票2,500元/月(週日19時至周五21時30分)，夜間月票1,500元/月(周一至周五18時至08時及周六、周日全日)。用時段禁止停放)；月租：全日月票4,800元/月，平日月票2,500元/月(週日19時至周五21時30分)，夜間月票1,500元/月(周一至周五18時至08時及周六、周日全日)。",110,0,0,0,0,2,0,0
527,Mar-60,士林區,萬麗酒店停車場,臺北市士林區中山北路5段470巷8號地下1、2、3、4樓,25.0931135,121.5290463,大型車:0格，小型車:190格，機車:53格,2246-1708#15,"計時:小型車60元/時(平日00-18)，60元/時(平日18-24及例假日全日)，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:小型車6,000元/月。計次:機車150元/次(隔日另計)。",190,53,0,0,0,0,0,0
528,2463,南港區,嘟嘟房玉成3站停車場,臺北市南港區玉成段三小段546、547、563-3地號； 忠孝東路6段39號旁空地,25.0536151,121.5945708,一般平面式小型車147格(含身心障礙停車位3格)。,2655-0818,"計時：100元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租：10,000元/月。",147,0,0,0,0,0,0,0
529,247,大安區,建國南路高架橋下B區,臺北市大安區建國南路橋下(建國南路二段79巷-151巷),25.030855,121.5381992,計有236個小型車停車格(含身心障礙停車位4格),2655-0818,"計時(以半小時為計費單位)：07:30-21:30：20元/時，21:30-翌日07:30：10元/時(供建國花市、玉市及藝文特區使用時段禁止停放)；月租：全日月票4,800元/月，平日月票2,500元/月(週日19時至周五21時30分)，夜間月票1,500元/月(周一至周五18時至08時及周六、周日全日)。",236,0,0,0,0,4,0,0
530,Jan-71,大同區,延平第一停車場,臺北市大同區延平北路2段197號B2,25.0592253,121.5115304,大型車:0格，小型車:18格，機車:0格,2557-5380,計時:30元/時(08-18)，10元/時(18-08)，停車逾1小時以上者，未滿半小時以半小時計費，特殊節日50元/時。,18,0,0,0,0,0,0,0
531,Mar-77,大同區,民權西路停車場,臺北市大同區雙連段二小段208地號；民權西路186-2號旁空地,25.0627528,121.5146937,一般平面式小型車2格(含身心障礙停車位1格)。,2778-5756,"月租：6,000/月。",2,0,0,0,0,0,0,0
532,2478,北投區,奇岩停車場,臺北市北投區奇岩段五小段525-7地號；北投路1段13號旁空地,25.1255353,121.5011094,大型車:0格，小型車:23格，機車:0格,2831-8671,計時:50元/時，停車逾1小時以上者，未滿半小時以半小時計費，月租2500元/月,23,0,0,0,0,0,0,0
533,Feb-79,內湖區,嘟嘟房內湖新明站停車場,臺北市內湖區新明路138號地下2、3層,25.0580153,121.5867737,大型車:0格，小型車:65格，機車:0格,2655-0818,"60元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租6,000元",65,0,0,0,0,0,0,0
534,248-14,中山區,市民大道建復段停車場,臺北市中山區建國北路-復興南路(地下),25.0576899,121.5442434,建物附設立體式小型車178格(含身心障礙停車位4格，孕婦、育有6歲以下兒童停車位5格)。,2799-5657,"計時：30元，全程以半小時計費。月租：全日4,800元，日間2,800元(7-19)，夜間1,500元(星期一至星期五19-08及星期六、日與行政機關放假之紀念日、民俗日)，大型重機全日2,400元；停放於充電格位之車輛，加收10元/時，依設備自動判斷未充電者再加收10元/時(未充電者合計加收20元/時)",182,0,0,0,0,0,0,0
